CombinedSpineCont... started logging at time 02242018_124628 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
24.6743,0.0399464,-66.9603,2.75,-6.36005,-65.0592,2.75,8.61979,1.08512,2.74999,-8.02279,0.0784328,2.76818,7.04361,
24.6844,0.0400483,-66.9603,2.75,-6.35957,-65.0593,2.74999,8.62029,1.08468,2.74999,-8.02376,0.0792497,2.77019,7.04271,
24.6945,0.040128,-66.9603,2.75001,-6.35906,-65.0594,2.75,8.62081,1.08423,2.75,-8.02477,0.0802378,2.77234,7.0418,
24.7046,0.0402103,-66.9602,2.74999,-6.35852,-65.0594,2.75,8.62136,1.08381,2.75,-8.02576,0.0812576,2.77462,7.0409,
24.7147,0.0403259,-66.9604,2.75001,-6.3579,-65.0595,2.75,8.62196,1.08338,2.75,-8.02678,0.0822841,2.777,7.03997,
24.7248,0.040469,-66.9606,2.75,-6.35737,-65.0595,2.74998,8.62248,1.08295,2.75,-8.02779,0.083415,2.77949,7.03906,
24.7349,0.0406877,-66.9606,2.75001,-6.35686,-65.0595,2.75,8.62298,1.08252,2.74999,-8.02883,0.0845397,2.78206,7.03812,
24.745,0.0409501,-66.9607,2.75001,-6.35634,-65.0595,2.74999,8.62349,1.08209,2.74999,-8.02986,0.085582,2.78474,7.03718,
24.7551,0.0412778,-66.9608,2.75,-6.3558,-65.0595,2.75,8.62402,1.08163,2.75,-8.03092,0.0866812,2.78751,7.03622,
24.7652,0.0416427,-66.9609,2.75,-6.35525,-65.0595,2.75,8.62457,1.08117,2.75,-8.03196,0.0878111,2.79039,7.03528,
24.7753,0.0420281,-66.961,2.75001,-6.35471,-65.0596,2.75,8.62509,1.08069,2.75,-8.03303,0.0888982,2.79338,7.0343,
24.7854,0.042415,-66.9611,2.75001,-6.3542,-65.0595,2.74999,8.62558,1.08019,2.75,-8.03409,0.090115,2.79652,7.03335,
24.7955,0.0427848,-66.9613,2.75001,-6.35366,-65.0595,2.75,8.6261,1.07967,2.74999,-8.03518,0.0914406,2.7998,7.03237,
24.8056,0.0431121,-66.9614,2.75,-6.35313,-65.0595,2.75,8.62661,1.07916,2.74999,-8.03627,0.0927554,2.80322,7.03138,
24.8157,0.0434175,-66.9615,2.75,-6.35259,-65.0594,2.75001,8.62713,1.07865,2.75,-8.03739,0.0941151,2.8068,7.03037,
24.8258,0.0436686,-66.9616,2.75,-6.35206,-65.0594,2.75,8.62765,1.07815,2.75,-8.0385,0.0955261,2.81054,7.02937,
